0000492;/zxdb/sinclair/pokes/Bear Bovver (1983)(Artic Computing).pok
0000493;/zxdb/sinclair/pokes/Beatcha (1984)(Romik Software).pok
0000494;/zxdb/sinclair/pokes/Bedlam (1983)(AWA Software).pok
0000495;/zxdb/sinclair/pokes/Bedlam (1988)(Go!).pok
0000498;/zxdb/sinclair/pokes/Beebul (1984)(Scorpio Gamesworld).pok
0000501;/zxdb/sinclair/pokes/Crazy Bugs! (1983)(AWA Software).pok
0000507;/zxdb/sinclair/pokes/Benny Hill's Madcap Chase! (1985)(DK'Tronics).pok
0000510;/zxdb/sinclair/pokes/Bestial Warrior (1989)(Dinamic Software).pok
0000511;/zxdb/sinclair/pokes/Beverly Hills Cop (1990)(Tynesoft).pok
0000512;/zxdb/sinclair/pokes/Beyond the Ice Palace (1988)(Elite Systems).pok
0000515;/zxdb/sinclair/pokes/Biff (1992)(Beyond Belief).pok
0000516;/zxdb/sinclair/pokes/Big Bad John (1986)(Tynesoft).pok
0000517;/zxdb/sinclair/pokes/Big Ben Strikes Again (1985)(Artic Computing).pok
0000519;/zxdb/sinclair/pokes/Big Trouble in Little China (1987)(Electric Dreams Software).pok
0000521;/zxdb/sinclair/pokes/Biggles (1986)(Mirrorsoft).pok
0000525;/zxdb/sinclair/pokes/Pasteman Pat (1989)(Silverbird Software).pok
0000527;/zxdb/sinclair/pokes/Billy Bluebottle (1984)(PowerSoftware).pok
0000528;/zxdb/sinclair/pokes/Billy Bong (1984)(MC Lothlorien).pok
0000529;/zxdb/sinclair/pokes/Billy the Kid (1989)(Code Masters).pok
0000531;/zxdb/sinclair/pokes/Bimbo (1983)(Joe the Lion).pok
0000535;/zxdb/sinclair/pokes/Bionic Ninja (1989)(Zeppelin Games).pok
0000536;/zxdb/sinclair/pokes/Birds and the Bees, The (1983)(Bug-Byte Software).pok
0000537;/zxdb/sinclair/pokes/Antics (1984)(Bug-Byte Software).pok
0000538;/zxdb/sinclair/pokes/Birds, The (1983)(Rabbit Software).pok
0000539;/zxdb/sinclair/pokes/Birdy (1985)(Your Computer).pok
0000542;/zxdb/sinclair/pokes/Bite the Dust (1988)(Crash).pok
0000549;/zxdb/sinclair/pokes/Black Hawk (1984)(Creative Sparks).pok
0000551;/zxdb/sinclair/pokes/Black Lamp (1988)(Firebird Software).pok
0000553;/zxdb/sinclair/pokes/Black Magic (1987)(US Gold).pok
0000555;/zxdb/sinclair/pokes/Black Beard (1988)(Topo Soft).pok
0000560;/zxdb/sinclair/pokes/Blade Alley (1983)(PSS).pok
0000562;/zxdb/sinclair/pokes/Blaster (1985)(Ian M. Collier).pok
0000563;/zxdb/sinclair/pokes/Blasteroids (1989)(Image Works).pok
0000564;/zxdb/sinclair/pokes/Blazing Thunder (1990)(Hi-Tec Software).pok
0000566;/zxdb/sinclair/pokes/Blind Alley (1983)(Sunshine Books).pok
0000567;/zxdb/sinclair/pokes/Blind Panic (1988)(Your Sinclair).pok
0000568;/zxdb/sinclair/pokes/Blinkys Scary School (1990)(Zeppelin Games).pok
0000572;/zxdb/sinclair/pokes/Blob the Cop (1989)(Sinclair User).pok
0000575;/zxdb/sinclair/pokes/Blockade Runner (1983)(Thorn EMI Video).pok
0000583;/zxdb/sinclair/pokes/Blood 'n' Guts (1984)(Quicksilva).pok
0000584;/zxdb/sinclair/pokes/Blood Brothers (1988)(Gremlin Graphics Software).pok
0000590;/zxdb/sinclair/pokes/Blood Valley (1987)(Gremlin Graphics Software).pok
